scenario_id,p,config,seed,spawned,passed,pass_rate,avg_travel_time,avg_gate_wait,throughput_active,W1_avg,W1_pk,W2_avg,W2_pk
p10_cfg5_s44,0.1,5,44,807,522,0.6468401486988847,137.32027559055118,116.12390057361377,0.9287870715681051,0.5272646615207169,0.6153846153846154,0.09228266763058016,0.21818181818181817
p10_cfg5_s43,0.1,5,43,823,516,0.6269744835965978,151.55717131474105,130.12301740812381,0.9157736250110706,0.5253393665158371,0.6063348416289592,0.08843398157625385,0.2545454545454545
p10_cfg4_s46,0.1,4,46,811,712,0.8779284833538841,92.54131693198264,69.78265734265734,1.2629161882893227,0.715916955017301,0.8506787330316742,0.16177888908733704,0.2909090909090909
p10_cfg5_s45,0.1,5,45,857,492,0.574095682613769,154.839248434238,133.98218623481785,0.8771306818181818,0.5280365539881111,0.6153846153846154,0.0832496746607176,0.2545454545454545
p10_cfg5_s46,0.1,5,46,811,507,0.625154130702836,163.57510121457491,141.50620078740158,0.900709219858156,0.5247715375743057,0.6063348416289592,0.08783558600259211,0.2545454545454545
p10_cfg6_s42,0.1,6,42,794,293,0.3690176322418136,195.3598245614035,160.64336734693876,0.5205382436260623,0.4149764883328897,0.9140271493212669,0.08285061671996345,0.2545454545454545
p10_cfg6_s46,0.1,6,46,811,303,0.37361282367447596,186.6333898305085,153.7167763157895,0.5385296722763507,0.42696300239552837,1.0135746606334841,0.08316463924226948,0.18181818181818182
p10_cfg6_s44,0.1,6,44,807,294,0.3643122676579926,191.1365853658537,159.53169491525423,0.5224475338705392,0.43206459054209917,0.995475113122172,0.08991534781008466,0.2545454545454545
p10_cfg6_s43,0.1,6,43,823,279,0.33900364520048604,201.8314338235294,167.33821428571432,0.49618996987418035,0.44676603673143467,0.9592760180995475,0.0836179049377019,0.21818181818181817
p10_cfg6_s45,0.1,6,45,857,282,0.3290548424737456,205.965523465704,168.91042402826855,0.5032900586875333,0.4634548842161299,1.004524886877828,0.08377213099715623,0.21818181818181817
p30_cfg1_s42,0.3,1,42,794,794,1.0,51.9686224489796,15.94578085642317,1.4310173920879516,0.2767058823529412,0.7692307692307693,0.3366120218579235,0.8727272727272727
p30_cfg1_s43,0.3,1,43,823,823,1.0,51.930334987593056,14.795868772782498,1.5031963470319634,0.32878854809632396,0.8235294117647058,0.4717136522014571,0.9454545454545454
p30_cfg1_s44,0.3,1,44,807,806,0.9987608426270136,51.228385416666676,15.092317224287477,1.427813163481953,0.3058759422395786,0.9683257918552036,0.40589017281930667,1.0909090909090908
p30_cfg1_s46,0.3,1,46,811,799,0.9852034525277436,50.704265091863526,15.745869837296613,1.413533834586466,0.30433283907926484,0.8054298642533937,0.4072223388620617,1.0909090909090908
p30_cfg1_s45,0.3,1,45,857,853,0.9953325554259043,51.979176755447945,15.278898007033991,1.5117412494461675,0.33747157590095783,0.8416289592760181,0.4699398162812797,1.1636363636363636
p30_cfg2_s42,0.3,2,42,794,794,1.0,48.768387909319905,10.885579345088159,1.5010870592683616,0.318558245306303,0.7420814479638009,0.47716435037613164,1.0909090909090908
p30_cfg2_s43,0.3,2,43,823,823,1.0,50.09222357229649,12.518955042527336,1.5446696696696698,0.3537664703036512,0.8144796380090498,0.47536015896671635,1.0545454545454545
p30_cfg3_s42,0.3,3,42,794,794,1.0,49.29822784810127,15.796788413098234,1.4452129595922825,0.35555242660659087,0.9140271493212669,0.33133047210300426,0.9090909090909091
p30_cfg2_s44,0.3,2,44,807,807,1.0,48.14108974358976,11.777757125154892,1.4860510081944571,0.3566895151053567,0.8959276018099548,0.5019235836627142,1.1272727272727272
p30_cfg2_s46,0.3,2,46,811,811,1.0,47.96291139240507,11.599136868064116,1.475484399163104,0.3378680143386026,0.8687782805429864,0.4789878700926047,1.018181818181818
p30_cfg3_s43,0.3,3,43,823,823,1.0,49.50695970695972,16.29738760631835,1.4931059506531206,0.3643522819214288,0.9411764705882353,0.312229009462211,0.7636363636363637
p30_cfg2_s45,0.3,2,45,857,857,1.0,50.017344497607674,12.468903150525087,1.6000746825989545,0.37532745891879016,0.8416289592760181,0.5300680272108843,1.0909090909090908
p30_cfg3_s44,0.3,3,44,807,800,0.9913258983890955,47.94539559014268,16.50361596009975,1.429972363377017,0.3925450115495364,1.0588235294117647,0.29384081265269385,0.6545454545454545
p30_cfg4_s42,0.3,4,42,794,786,0.9899244332493703,54.38350785340315,25.937072243346005,1.3990602003723733,0.4053413338579579,0.8778280542986425,0.21469379573017944,0.5454545454545454
p30_cfg3_s45,0.3,3,45,857,857,1.0,51.3527108433735,21.979871645274212,1.5209867778862365,0.4264034135488656,1.0226244343891402,0.23127094036184948,0.5818181818181818
p30_cfg4_s43,0.3,4,43,823,811,0.9854191980558931,56.28612167300381,28.76687192118227,1.439461088459493,0.4419136712593421,0.9230769230769231,0.20330058189449587,0.509090909090909
p30_cfg4_s44,0.3,4,44,807,760,0.9417596034696406,52.704945799458,24.646657929226738,1.3494870887866994,0.4562786742396405,0.9049773755656109,0.22038698519079017,0.509090909090909
p30_cfg3_s46,0.3,3,46,811,811,1.0,49.34759797724402,16.405240443896425,1.4536655314572504,0.3565635755942415,0.9140271493212669,0.3671190781049936,0.9090909090909091
p30_cfg4_s45,0.3,4,45,857,834,0.9731621936989499,56.22373300370828,28.231997607655497,1.4789915966386555,0.4579037163415177,0.9140271493212669,0.223447486406563,0.6545454545454545
p30_cfg5_s44,0.3,5,44,807,636,0.7881040892193308,91.64056000000001,69.17029780564265,1.1318076991307433,0.5240351344157572,0.6787330316742082,0.11801585838096994,0.36363636363636365
p30_cfg5_s42,0.3,5,42,794,681,0.8576826196473551,90.6292537313433,65.72507331378299,1.2088983426393687,0.533368822642179,0.6787330316742082,0.126723980245107,0.4
p30_cfg5_s43,0.3,5,43,823,658,0.7995139732685298,100.98705148205929,80.17389984825495,1.1665781554257388,0.5326767811196876,0.6606334841628959,0.11980324284933504,0.43636363636363634
p30_cfg5_s45,0.3,5,45,857,651,0.7596266044340724,93.37641509433963,71.83926380368098,1.1579788651096707,0.5312838257474936,0.6877828054298643,0.1172375486021107,0.4
p30_cfg4_s46,0.3,4,46,811,781,0.9630086313193588,54.98120893561105,27.917984693877546,1.3866289352670675,0.44341932577226695,0.8959276018099548,0.19563875336054964,0.43636363636363634
p30_cfg5_s46,0.3,5,46,811,666,0.8212083847102343,95.65735068912711,70.98645209580837,1.1847122461647601,0.5360748824416645,0.6968325791855203,0.11712214166201897,0.4
p30_cfg6_s44,0.3,6,44,807,458,0.5675340768277571,117.52533333333335,92.5495642701525,0.8141906873614191,0.3488421612989087,0.8235294117647058,0.11559104837960812,0.36363636363636365
p30_cfg6_s42,0.3,6,42,794,424,0.5340050377833753,134.09424460431654,105.28529411764707,0.755622722019735,0.35011090409014284,0.7782805429864253,0.1104666294850344,0.32727272727272727
p30_cfg6_s43,0.3,6,43,823,455,0.5528554070473876,118.08897550111361,91.790899122807,0.8072939718509339,0.3507319669949428,0.7782805429864253,0.11012881104624224,0.32727272727272727
p30_cfg6_s46,0.3,6,46,811,449,0.5536374845869297,122.68434684684686,95.61066666666667,0.8009255139272048,0.3510957324106113,0.7601809954751131,0.1064569233583318,0.2909090909090909
p30_cfg6_s45,0.3,6,45,857,469,0.5472578763127188,119.62082429501083,93.12382978723403,0.8338507939324049,0.36173365273711294,0.7782805429864253,0.11311921611322809,0.43636363636363634
p50_cfg1_s42,0.5,1,42,794,731,0.9206549118387909,75.35251396648046,42.16053351573186,1.2930043335986556,0.3179398456215065,0.579185520361991,0.2354367201426025,0.6181818181818182
p50_cfg1_s44,0.5,1,44,807,690,0.8550185873605948,79.45445103857568,49.29681620839362,1.2231170900079653,0.32140005323396326,0.5610859728506787,0.21354723707664883,0.6909090909090909
p50_cfg1_s43,0.5,1,43,823,723,0.8784933171324423,82.72943661971833,51.75980662983425,1.2825509300265723,0.32339632685653447,0.6063348416289592,0.23967914438502672,0.6909090909090909
p50_cfg1_s46,0.5,1,46,811,731,0.9013563501849569,72.77905027932962,39.804445964432276,1.2932330827067668,0.3208854582557005,0.6153846153846154,0.23718360071301248,0.6909090909090909
p50_cfg1_s45,0.5,1,45,857,781,0.911318553092182,69.41068152031455,34.61344430217669,1.3842609003899324,0.3319669949427735,0.6787330316742082,0.30859180035650624,0.9818181818181818
