scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,avg_esc_wait_precise,p95_esc_wait_precise,n_esc_precise,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3a_avg_density,zone3a_max_density,zone3b_avg_density,zone3b_max_density,zone3c_avg_density,zone3c_max_density,zone4a_avg_density,zone4a_max_density,zone4b_avg_density,zone4b_max_density,zone4c_avg_density,zone4c_max_density
p10_cfg3_s46,0.1,3,46,811,782,58.269123505976104,103.84000000000002,753,33.52490421455939,82.235,20.790106241699878,24.800000000000033,16.815033112582793,20.899999999999995,755,368,385,0.48871181938911024,0.06227333333333333,0.136,1.7113095238095237,4.678571428571429,0.41250000000000003,0.7083333333333334,0.08750000000000001,0.6666666666666666,0.036944444444444446,0.06666666666666667,0.42430555555555555,0.8333333333333334,0.13055555555555556,0.6666666666666666,0.03666666666666667,0.06666666666666667
p10_cfg3_s45,0.1,3,45,857,827,58.5575719649562,97.25,799,33.526265060240966,75.40499999999994,20.82972465581978,25.04999999999996,16.893757802746574,21.05000000000001,801,396,403,0.4956195244055069,0.06635333333333333,0.1336,1.8104166666666668,4.535714285714286,0.4513888888888889,0.8333333333333334,0.08472222222222221,0.3333333333333333,0.03638888888888889,0.06666666666666667,0.465625,0.9166666666666666,0.10138888888888888,0.6666666666666666,0.03888888888888889,0.06666666666666667
p10_cfg4_s45,0.1,4,45,857,712,97.182183908046,167.88750000000002,696,74.09971988795517,147.32250000000005,21.114439655172422,25.337500000000006,17.161461318051582,21.549999999999986,698,249,447,0.3577586206896552,0.10741333333333335,0.1968,3.8964285714285714,7.571428571428571,0.27743055555555557,0.5833333333333334,0.027777777777777776,0.3333333333333333,0.024722222222222222,0.06666666666666667,0.5277777777777778,0.7916666666666666,0.12916666666666668,0.6666666666666666,0.041666666666666664,0.06666666666666667
p10_cfg5_s42,0.1,5,42,794,507,151.341784989858,287.64,493,130.04852362204724,264.53000000000003,19.963488843813394,23.700000000000028,16.045748987854253,19.899999999999977,494,238,255,0.4827586206896552,0.16087333333333334,0.2776,6.50952380952381,11.75,0.2590277777777778,0.5416666666666666,0.027777777777777776,0.3333333333333333,0.024444444444444442,0.06666666666666667,0.2833333333333333,0.5833333333333334,0.030555555555555555,0.3333333333333333,0.023611111111111114,0.06666666666666667
p10_cfg5_s44,0.1,5,44,807,522,137.32027559055118,250.6775,508,116.12390057361377,234.78999999999996,20.036318897637802,23.900000000000006,16.193039215686284,20.25,510,248,260,0.4881889763779528,0.14646666666666666,0.2864,5.851190476190476,11.892857142857142,0.27881944444444445,0.5,0.024999999999999998,0.3333333333333333,0.025277777777777777,0.06666666666666667,0.2878472222222222,0.5833333333333334,0.019444444444444445,0.16666666666666666,0.02388888888888889,0.06666666666666667
p10_cfg5_s43,0.1,5,43,823,516,151.55717131474105,291.87500000000006,502,130.12301740812381,266.65,19.956673306772917,23.69999999999999,16.132206759443342,19.944999999999993,503,260,242,0.5179282868525896,0.16779333333333335,0.3032,6.789880952380953,12.607142857142858,0.2913194444444444,0.5,0.034722222222222224,0.3333333333333333,0.02333333333333333,0.06666666666666667,0.27152777777777776,0.5416666666666666,0.018055555555555557,0.3333333333333333,0.02222222222222222,0.06666666666666667
p10_cfg4_s46,0.1,4,46,811,712,92.54131693198265,154.47500000000002,691,69.78265734265734,132.47999999999996,20.76910274963821,24.80000000000001,16.811054913294804,21.172500000000017,692,255,436,0.36903039073806077,0.09656,0.1656,3.432440476190476,5.928571428571429,0.28194444444444444,0.7083333333333334,0.020833333333333332,0.3333333333333333,0.025,0.06666666666666667,0.5052083333333334,0.8333333333333334,0.10555555555555556,0.6666666666666666,0.04138888888888889,0.06666666666666667
p10_cfg5_s45,0.1,5,45,857,492,154.839248434238,298.05,479,133.98218623481785,273.8375,19.862943632567855,23.75,15.908523908523913,19.950000000000003,481,238,241,0.4968684759916493,0.17832666666666666,0.3464,7.296726190476191,14.714285714285714,0.26805555555555555,0.5833333333333334,0.024999999999999998,0.3333333333333333,0.021666666666666667,0.06666666666666667,0.25625000000000003,0.5416666666666666,0.029166666666666664,0.3333333333333333,0.02333333333333333,0.06666666666666667
p10_cfg5_s46,0.1,5,46,811,507,163.57510121457491,325.0675,494,141.50620078740158,300.28249999999997,19.794129554655875,23.69999999999999,15.886969696969702,19.73000000000001,495,248,246,0.5020242914979757,0.16802666666666666,0.2984,6.813095238095238,12.5,0.26944444444444443,0.5416666666666666,0.034722222222222224,0.5,0.024722222222222222,0.06666666666666667,0.2652777777777778,0.625,0.030555555555555555,0.16666666666666666,0.02638888888888889,0.06666666666666667
p10_cfg6_s42,0.1,6,42,794,293,195.3598245614035,445.5300000000001,285,160.64336734693876,389.80999999999995,19.88596491228071,23.75,16.086666666666673,20.200000000000003,285,50,235,0.17543859649122806,0.2385733333333333,0.4312,9.394642857142857,18.428571428571427,0.05416666666666667,0.2916666666666667,0.001388888888888889,0.16666666666666666,0.005277777777777778,0.06666666666666667,0.26180555555555557,0.5,0.044444444444444446,0.5,0.02222222222222222,0.06666666666666667
