[2026-04-18 13:36:30] 전체 모드: 100 시나리오
[2026-04-18 13:39:20] [59/100] p50_cfg4_s45: OK (2.8s, spawn=203, pass=194)
[2026-04-18 13:39:20] [60/100] p50_cfg4_s46: 시작 (p=0.5, cfg=4, seed=46)
[2026-04-18 13:39:23] [60/100] p50_cfg4_s46: OK (3.6s, spawn=222, pass=217)
[2026-04-18 13:39:23] [61/100] p70_cfg1_s42: 시작 (p=0.7, cfg=1, seed=42)
[2026-04-18 13:39:26] [61/100] p70_cfg1_s42: OK (2.8s, spawn=212, pass=123)
[2026-04-18 13:39:26] [62/100] p70_cfg1_s43: 시작 (p=0.7, cfg=1, seed=43)
[2026-04-18 13:39:29] [62/100] p70_cfg1_s43: OK (2.7s, spawn=206, pass=116)
[2026-04-18 13:39:29] [63/100] p70_cfg1_s44: 시작 (p=0.7, cfg=1, seed=44)
[2026-04-18 13:39:32] [63/100] p70_cfg1_s44: OK (2.9s, spawn=181, pass=102)
[2026-04-18 13:39:32] [64/100] p70_cfg1_s45: 시작 (p=0.7, cfg=1, seed=45)
[2026-04-18 13:39:35] [64/100] p70_cfg1_s45: OK (3.3s, spawn=203, pass=114)
[2026-04-18 13:39:35] [65/100] p70_cfg1_s46: 시작 (p=0.7, cfg=1, seed=46)
[2026-04-18 13:39:39] [65/100] p70_cfg1_s46: OK (3.5s, spawn=222, pass=121)
[2026-04-18 13:39:39] [66/100] p70_cfg2_s42: 시작 (p=0.7, cfg=2, seed=42)
[2026-04-18 13:39:41] [66/100] p70_cfg2_s42: OK (2.6s, spawn=212, pass=166)
[2026-04-18 13:39:41] [67/100] p70_cfg2_s43: 시작 (p=0.7, cfg=2, seed=43)
[2026-04-18 13:39:44] [67/100] p70_cfg2_s43: OK (3.0s, spawn=206, pass=153)
[2026-04-18 13:39:44] [68/100] p70_cfg2_s44: 시작 (p=0.7, cfg=2, seed=44)
[2026-04-18 13:39:47] [68/100] p70_cfg2_s44: OK (2.4s, spawn=181, pass=156)
[2026-04-18 13:39:47] [69/100] p70_cfg2_s45: 시작 (p=0.7, cfg=2, seed=45)
[2026-04-18 13:39:50] [69/100] p70_cfg2_s45: OK (3.0s, spawn=203, pass=160)
[2026-04-18 13:39:50] [70/100] p70_cfg2_s46: 시작 (p=0.7, cfg=2, seed=46)
[2026-04-18 13:39:53] [70/100] p70_cfg2_s46: OK (2.9s, spawn=222, pass=152)
[2026-04-18 13:39:53] [71/100] p70_cfg3_s42: 시작 (p=0.7, cfg=3, seed=42)
[2026-04-18 13:39:56] [71/100] p70_cfg3_s42: OK (3.3s, spawn=212, pass=197)
[2026-04-18 13:39:56] [72/100] p70_cfg3_s43: 시작 (p=0.7, cfg=3, seed=43)
[2026-04-18 13:40:02] [72/100] p70_cfg3_s43: OK (5.7s, spawn=206, pass=198)
[2026-04-18 13:40:02] [73/100] p70_cfg3_s44: 시작 (p=0.7, cfg=3, seed=44)
[2026-04-18 13:40:05] [73/100] p70_cfg3_s44: OK (3.3s, spawn=181, pass=180)
[2026-04-18 13:40:05] [74/100] p70_cfg3_s45: 시작 (p=0.7, cfg=3, seed=45)
[2026-04-18 13:40:08] [74/100] p70_cfg3_s45: OK (3.4s, spawn=203, pass=201)
[2026-04-18 13:40:09] [75/100] p70_cfg3_s46: 시작 (p=0.7, cfg=3, seed=46)
[2026-04-18 13:40:12] [75/100] p70_cfg3_s46: OK (3.7s, spawn=222, pass=203)
[2026-04-18 13:40:12] [76/100] p70_cfg4_s42: 시작 (p=0.7, cfg=4, seed=42)
[2026-04-18 13:40:17] [76/100] p70_cfg4_s42: OK (4.2s, spawn=212, pass=212)
[2026-04-18 13:40:17] [77/100] p70_cfg4_s43: 시작 (p=0.7, cfg=4, seed=43)
[2026-04-18 13:40:21] [77/100] p70_cfg4_s43: OK (4.1s, spawn=206, pass=206)
[2026-04-18 13:40:21] [78/100] p70_cfg4_s44: 시작 (p=0.7, cfg=4, seed=44)
[2026-04-18 13:40:24] [78/100] p70_cfg4_s44: OK (3.5s, spawn=181, pass=181)
[2026-04-18 13:40:24] [79/100] p70_cfg4_s45: 시작 (p=0.7, cfg=4, seed=45)
[2026-04-18 13:40:28] [79/100] p70_cfg4_s45: OK (3.7s, spawn=203, pass=203)
[2026-04-18 13:40:28] [80/100] p70_cfg4_s46: 시작 (p=0.7, cfg=4, seed=46)
[2026-04-18 13:40:32] [80/100] p70_cfg4_s46: OK (4.2s, spawn=222, pass=222)
[2026-04-18 13:40:32] [81/100] p80_cfg1_s42: 시작 (p=0.8, cfg=1, seed=42)
[2026-04-18 13:40:36] [81/100] p80_cfg1_s42: OK (4.2s, spawn=212, pass=86)
[2026-04-18 13:40:36] [82/100] p80_cfg1_s43: 시작 (p=0.8, cfg=1, seed=43)
[2026-04-18 13:40:40] [82/100] p80_cfg1_s43: OK (3.8s, spawn=206, pass=85)
[2026-04-18 13:40:40] [83/100] p80_cfg1_s44: 시작 (p=0.8, cfg=1, seed=44)
[2026-04-18 13:40:43] [83/100] p80_cfg1_s44: OK (3.0s, spawn=181, pass=83)
[2026-04-18 13:40:43] [84/100] p80_cfg1_s45: 시작 (p=0.8, cfg=1, seed=45)
[2026-04-18 13:40:47] [84/100] p80_cfg1_s45: OK (3.4s, spawn=203, pass=94)
[2026-04-18 13:40:47] [85/100] p80_cfg1_s46: 시작 (p=0.8, cfg=1, seed=46)
[2026-04-18 13:40:51] [85/100] p80_cfg1_s46: OK (4.6s, spawn=222, pass=84)
[2026-04-18 13:40:51] [86/100] p80_cfg2_s42: 시작 (p=0.8, cfg=2, seed=42)
[2026-04-18 13:40:54] [86/100] p80_cfg2_s42: OK (2.8s, spawn=212, pass=143)
[2026-04-18 13:40:54] [87/100] p80_cfg2_s43: 시작 (p=0.8, cfg=2, seed=43)
[2026-04-18 13:40:57] [87/100] p80_cfg2_s43: OK (2.7s, spawn=206, pass=134)
[2026-04-18 13:40:57] [88/100] p80_cfg2_s44: 시작 (p=0.8, cfg=2, seed=44)
[2026-04-18 13:41:00] [88/100] p80_cfg2_s44: OK (2.7s, spawn=181, pass=133)
[2026-04-18 13:41:00] [89/100] p80_cfg2_s45: 시작 (p=0.8, cfg=2, seed=45)
[2026-04-18 13:41:02] [89/100] p80_cfg2_s45: OK (2.8s, spawn=203, pass=137)
[2026-04-18 13:41:02] [90/100] p80_cfg2_s46: 시작 (p=0.8, cfg=2, seed=46)
[2026-04-18 13:41:05] [90/100] p80_cfg2_s46: OK (2.9s, spawn=222, pass=127)
[2026-04-18 13:41:05] [91/100] p80_cfg3_s42: 시작 (p=0.8, cfg=3, seed=42)
[2026-04-18 13:41:08] [91/100] p80_cfg3_s42: OK (3.0s, spawn=212, pass=184)
[2026-04-18 13:41:08] [92/100] p80_cfg3_s43: 시작 (p=0.8, cfg=3, seed=43)
[2026-04-18 13:41:11] [92/100] p80_cfg3_s43: OK (2.8s, spawn=206, pass=179)
[2026-04-18 13:41:11] [93/100] p80_cfg3_s44: 시작 (p=0.8, cfg=3, seed=44)
[2026-04-18 13:41:14] [93/100] p80_cfg3_s44: OK (2.5s, spawn=181, pass=173)
[2026-04-18 13:41:14] [94/100] p80_cfg3_s45: 시작 (p=0.8, cfg=3, seed=45)
[2026-04-18 13:41:16] [94/100] p80_cfg3_s45: OK (2.6s, spawn=203, pass=180)
[2026-04-18 13:41:16] [95/100] p80_cfg3_s46: 시작 (p=0.8, cfg=3, seed=46)
[2026-04-18 13:41:19] [95/100] p80_cfg3_s46: OK (2.8s, spawn=222, pass=194)
[2026-04-18 13:41:19] [96/100] p80_cfg4_s42: 시작 (p=0.8, cfg=4, seed=42)
[2026-04-18 13:41:22] [96/100] p80_cfg4_s42: OK (3.1s, spawn=212, pass=212)
[2026-04-18 13:41:22] [97/100] p80_cfg4_s43: 시작 (p=0.8, cfg=4, seed=43)
[2026-04-18 13:41:25] [97/100] p80_cfg4_s43: OK (3.2s, spawn=206, pass=206)
[2026-04-18 13:41:25] [98/100] p80_cfg4_s44: 시작 (p=0.8, cfg=4, seed=44)
[2026-04-18 13:41:28] [98/100] p80_cfg4_s44: OK (2.8s, spawn=181, pass=181)
[2026-04-18 13:41:28] [99/100] p80_cfg4_s45: 시작 (p=0.8, cfg=4, seed=45)
[2026-04-18 13:41:32] [99/100] p80_cfg4_s45: OK (3.4s, spawn=203, pass=203)
[2026-04-18 13:41:32] [100/100] p80_cfg4_s46: 시작 (p=0.8, cfg=4, seed=46)
[2026-04-18 13:41:35] [100/100] p80_cfg4_s46: OK (3.3s, spawn=222, pass=221)
[2026-04-18 13:41:35] summary.csv 생성: 100 행 -> C:\Users\aaron\tagless\results\summary.csv
[2026-04-18 13:41:35] 종료: 성공 100, 스킵 0, 실패 0
[2026-05-11 14:03:51] 병렬 모드: workers=4, model=cfsm
[2026-05-11 14:03:51] 전체 10개 중 SKIP 0, 실행 10
[2026-05-11 14:03:52] [1/10] p15_cfg1_s43: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [2/10] p15_cfg1_s44: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [3/10] p15_cfg1_s42: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [4/10] p15_cfg1_s45: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [5/10] p15_cfg1_s46: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [6/10] p15_cfg2_s42: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [7/10] p15_cfg2_s44: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [8/10] p15_cfg2_s43: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [9/10] p15_cfg2_s46: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] [10/10] p15_cfg2_s45: WORKER EXCEPTION - No module named 'jupedsim'
[2026-05-11 14:03:52] 종료: 성공 0, 스킵 0, 실패 10, 총 0.9s
[2026-05-11 14:07:05] 모델: CFSM, esc_service_time=None
[2026-05-11 14:07:05] Limit 모드: 1 시나리오
[2026-05-11 14:07:05] [1/1] p15_cfg1_s42: 시작 (p=0.15, cfg=1, seed=42)
[2026-05-11 14:07:05] [1/1] p15_cfg1_s42: FAIL - No module named 'jupedsim'
[2026-05-11 14:07:05] 종료: 성공 0, 스킵 0, 실패 1
[2026-05-11 14:07:37] 모델: CFSM, esc_service_time=None
[2026-05-11 14:07:37] Limit 모드: 1 시나리오
[2026-05-11 14:07:37] [1/1] p15_cfg1_s42: 시작 (p=0.15, cfg=1, seed=42)
[2026-05-11 14:07:58] [1/1] p15_cfg1_s42: OK (19.6s, spawn=794, pass=794)
[2026-05-11 14:07:58] summary.csv 생성: 1 행 -> C:\Users\aaron\tagless\results\summary.csv
[2026-05-11 14:07:58] 종료: 성공 1, 스킵 0, 실패 0
[2026-05-11 14:08:18] 병렬 모드: workers=4, model=cfsm
[2026-05-11 14:08:18] 전체 30개 중 SKIP 1, 실행 29
[2026-05-11 14:08:47] [1/29] p15_cfg1_s44: OK (27.3s, spawn=807, pass=807)
[2026-05-11 14:08:47]   진행: 1/29, 경과 29s, ETA 816s
[2026-05-11 14:08:48] [2/29] p15_cfg1_s46: OK (28.0s, spawn=811, pass=811)
[2026-05-11 14:08:50] [3/29] p15_cfg1_s43: OK (30.0s, spawn=823, pass=823)
[2026-05-11 14:08:50] [4/29] p15_cfg1_s45: OK (30.0s, spawn=857, pass=857)
[2026-05-11 14:09:16] [5/29] p15_cfg2_s42: OK (28.5s, spawn=794, pass=794)
[2026-05-11 14:09:16]   진행: 5/29, 경과 58s, ETA 277s
[2026-05-11 14:09:18] [6/29] p15_cfg2_s43: OK (29.9s, spawn=823, pass=823)
[2026-05-11 14:09:19] [7/29] p15_cfg2_s44: OK (29.1s, spawn=807, pass=793)
[2026-05-11 14:09:19] [8/29] p15_cfg2_s45: OK (29.6s, spawn=857, pass=827)
[2026-05-11 14:09:44] [9/29] p15_cfg2_s46: OK (28.5s, spawn=811, pass=796)
[2026-05-11 14:09:44]   진행: 9/29, 경과 86s, ETA 191s
[2026-05-11 14:09:49] [10/29] p20_cfg1_s42: OK (31.4s, spawn=794, pass=794)
[2026-05-11 14:09:52] [11/29] p20_cfg1_s43: OK (32.8s, spawn=823, pass=823)
[2026-05-11 14:09:52] [12/29] p20_cfg1_s44: OK (32.3s, spawn=807, pass=807)
[2026-05-11 14:10:19] [13/29] p20_cfg1_s45: OK (34.7s, spawn=857, pass=857)
[2026-05-11 14:10:19]   진행: 13/29, 경과 121s, ETA 149s
[2026-05-11 14:10:20] [14/29] p20_cfg2_s42: OK (27.9s, spawn=794, pass=794)
[2026-05-11 14:10:21] [15/29] p20_cfg2_s43: OK (29.1s, spawn=823, pass=823)
