scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,avg_gate_wait,p95_gate_wait,avg_post_gate,p95_post_gate,n_exit1,n_exit4,exit1_share,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3_avg_density,zone3_max_density,zone4_avg_density,zone4_max_density
p50_cfg4_s44,0.5,4,44,382,382,43.53965968586388,70.4975,382,9.295549738219893,32.59250000000002,25.009554973821995,39.02250000000001,165,217,0.4319371727748691,0.042826666666666666,0.112,0.5113095238095239,2.107142857142857,0.08055555555555556,0.16666666666666666,0.09722222222222224,0.16666666666666666
p50_cfg4_s45,0.5,4,45,413,413,45.20567901234568,77.62,405,9.66416464891041,36.88,26.62950617283951,45.44999999999999,171,234,0.4222222222222222,0.04850666666666667,0.1128,0.575,2.1785714285714284,0.07777777777777777,0.16666666666666666,0.10833333333333335,0.16666666666666666
p50_cfg4_s46,0.5,4,46,434,434,46.450233644859814,79.4275,428,10.65622119815668,39.06999999999999,26.864836448598133,45.92499999999999,184,244,0.42990654205607476,0.052399999999999995,0.1248,0.6476190476190475,2.5357142857142856,0.08888888888888888,0.16666666666666666,0.11666666666666668,0.16666666666666666
p70_cfg1_s42,0.7,1,42,417,267,79.88372549019608,214.595,255,51.8817843866171,169.29999999999998,19.546470588235298,23.515000000000008,66,189,0.25882352941176473,0.09854666666666666,0.1752,3.154166666666667,6.178571428571429,0.030555555555555555,0.16666666666666666,0.07777777777777778,0.16666666666666666
p70_cfg1_s43,0.7,1,43,426,268,79.434046692607,211.27,257,51.845588235294116,170.0125,19.722373540856037,24.569999999999993,64,193,0.2490272373540856,0.10094666666666667,0.1888,3.219047619047619,6.392857142857143,0.024999999999999998,0.16666666666666666,0.08055555555555555,0.16666666666666666
p70_cfg1_s44,0.7,1,44,382,253,74.1900826446281,180.18249999999998,242,46.2968992248062,135.33749999999995,20.2956611570248,25.147500000000004,61,181,0.25206611570247933,0.08161333333333332,0.1544,2.5410714285714286,5.357142857142857,0.025,0.16666666666666666,0.08611111111111111,0.16666666666666666
p70_cfg1_s45,0.7,1,45,413,283,76.56199261992622,199.45000000000002,271,46.912062937062935,152.7375,19.77416974169742,24.824999999999996,75,196,0.2767527675276753,0.09016,0.1664,2.84702380952381,5.535714285714286,0.03333333333333333,0.16666666666666666,0.09722222222222222,0.16666666666666666
p70_cfg1_s46,0.7,1,46,434,278,75.93962264150943,211.82,265,50.26565836298931,169.34999999999997,18.91150943396227,23.720000000000002,74,191,0.2792452830188679,0.10226666666666667,0.188,3.277380952380952,6.392857142857143,0.027777777777777776,0.16666666666666666,0.075,0.16666666666666666
p70_cfg2_s42,0.7,2,42,417,401,48.311811023622056,91.90000000000002,381,23.459436274509798,68.84749999999998,20.566010498687668,31.650000000000006,187,194,0.49081364829396323,0.05482666666666667,0.124,1.2744047619047618,3.2857142857142856,0.10555555555555557,0.16666666666666666,0.08055555555555555,0.16666666666666666
p70_cfg2_s43,0.7,2,43,426,401,48.613324538258574,87.815,379,23.474087591240874,68.675,21.305277044854886,28.21500000000001,182,197,0.48021108179419525,0.05693333333333333,0.1232,1.331547619047619,3.357142857142857,0.09166666666666669,0.16666666666666666,0.08333333333333333,0.16666666666666666
