[2026-04-18 14:27:47] 전체 모드: 100 시나리오
[2026-04-18 14:34:55] [42/100] p50_cfg1_s43: OK (5.1s, spawn=426, pass=351)
[2026-04-18 14:34:55] [43/100] p50_cfg1_s44: 시작 (p=0.5, cfg=1, seed=44)
[2026-04-18 14:34:59] [43/100] p50_cfg1_s44: OK (4.6s, spawn=382, pass=338)
[2026-04-18 14:34:59] [44/100] p50_cfg1_s45: 시작 (p=0.5, cfg=1, seed=45)
[2026-04-18 14:35:04] [44/100] p50_cfg1_s45: OK (4.8s, spawn=413, pass=350)
[2026-04-18 14:35:04] [45/100] p50_cfg1_s46: 시작 (p=0.5, cfg=1, seed=46)
[2026-04-18 14:35:09] [45/100] p50_cfg1_s46: OK (4.9s, spawn=434, pass=350)
[2026-04-18 14:35:09] [46/100] p50_cfg2_s42: 시작 (p=0.5, cfg=2, seed=42)
[2026-04-18 14:35:15] [46/100] p50_cfg2_s42: OK (5.6s, spawn=417, pass=412)
[2026-04-18 14:35:15] [47/100] p50_cfg2_s43: 시작 (p=0.5, cfg=2, seed=43)
[2026-04-18 14:35:20] [47/100] p50_cfg2_s43: OK (5.4s, spawn=426, pass=424)
[2026-04-18 14:35:20] [48/100] p50_cfg2_s44: 시작 (p=0.5, cfg=2, seed=44)
[2026-04-18 14:35:25] [48/100] p50_cfg2_s44: OK (4.9s, spawn=382, pass=380)
[2026-04-18 14:35:25] [49/100] p50_cfg2_s45: 시작 (p=0.5, cfg=2, seed=45)
[2026-04-18 14:35:30] [49/100] p50_cfg2_s45: OK (5.0s, spawn=413, pass=410)
[2026-04-18 14:35:30] [50/100] p50_cfg2_s46: 시작 (p=0.5, cfg=2, seed=46)
[2026-04-18 14:35:36] [50/100] p50_cfg2_s46: OK (5.7s, spawn=434, pass=430)
[2026-04-18 14:35:36] [51/100] p50_cfg3_s42: 시작 (p=0.5, cfg=3, seed=42)
[2026-04-18 14:35:42] [51/100] p50_cfg3_s42: OK (6.2s, spawn=417, pass=417)
[2026-04-18 14:35:42] [52/100] p50_cfg3_s43: 시작 (p=0.5, cfg=3, seed=43)
[2026-04-18 14:35:49] [52/100] p50_cfg3_s43: OK (6.5s, spawn=426, pass=426)
[2026-04-18 14:35:49] [53/100] p50_cfg3_s44: 시작 (p=0.5, cfg=3, seed=44)
[2026-04-18 14:35:54] [53/100] p50_cfg3_s44: OK (5.4s, spawn=382, pass=382)
[2026-04-18 14:35:54] [54/100] p50_cfg3_s45: 시작 (p=0.5, cfg=3, seed=45)
[2026-04-18 14:36:00] [54/100] p50_cfg3_s45: OK (6.1s, spawn=413, pass=413)
[2026-04-18 14:36:00] [55/100] p50_cfg3_s46: 시작 (p=0.5, cfg=3, seed=46)
[2026-04-18 14:36:07] [55/100] p50_cfg3_s46: OK (6.5s, spawn=434, pass=434)
[2026-04-18 14:36:07] [56/100] p50_cfg4_s42: 시작 (p=0.5, cfg=4, seed=42)
[2026-04-18 14:36:13] [56/100] p50_cfg4_s42: OK (5.8s, spawn=417, pass=417)
[2026-04-18 14:36:13] [57/100] p50_cfg4_s43: 시작 (p=0.5, cfg=4, seed=43)
[2026-04-18 14:36:19] [57/100] p50_cfg4_s43: OK (5.7s, spawn=426, pass=426)
[2026-04-18 14:36:19] [58/100] p50_cfg4_s44: 시작 (p=0.5, cfg=4, seed=44)
[2026-04-18 14:36:24] [58/100] p50_cfg4_s44: OK (5.3s, spawn=382, pass=382)
[2026-04-18 14:36:24] [59/100] p50_cfg4_s45: 시작 (p=0.5, cfg=4, seed=45)
[2026-04-18 14:36:30] [59/100] p50_cfg4_s45: OK (6.0s, spawn=413, pass=413)
[2026-04-18 14:36:30] [60/100] p50_cfg4_s46: 시작 (p=0.5, cfg=4, seed=46)
[2026-04-18 14:36:36] [60/100] p50_cfg4_s46: OK (6.4s, spawn=434, pass=434)
[2026-04-18 14:36:36] [61/100] p70_cfg1_s42: 시작 (p=0.7, cfg=1, seed=42)
[2026-04-18 14:36:43] [61/100] p70_cfg1_s42: OK (6.2s, spawn=417, pass=267)
[2026-04-18 14:36:43] [62/100] p70_cfg1_s43: 시작 (p=0.7, cfg=1, seed=43)
[2026-04-18 14:36:48] [62/100] p70_cfg1_s43: OK (5.5s, spawn=426, pass=268)
[2026-04-18 14:36:48] [63/100] p70_cfg1_s44: 시작 (p=0.7, cfg=1, seed=44)
[2026-04-18 14:36:53] [63/100] p70_cfg1_s44: OK (4.8s, spawn=382, pass=253)
[2026-04-18 14:36:53] [64/100] p70_cfg1_s45: 시작 (p=0.7, cfg=1, seed=45)
[2026-04-18 14:36:58] [64/100] p70_cfg1_s45: OK (5.0s, spawn=413, pass=283)
[2026-04-18 14:36:58] [65/100] p70_cfg1_s46: 시작 (p=0.7, cfg=1, seed=46)
[2026-04-18 14:37:03] [65/100] p70_cfg1_s46: OK (5.6s, spawn=434, pass=278)
[2026-04-18 14:37:04] [66/100] p70_cfg2_s42: 시작 (p=0.7, cfg=2, seed=42)
[2026-04-18 14:37:08] [66/100] p70_cfg2_s42: OK (4.7s, spawn=417, pass=401)
[2026-04-18 14:37:08] [67/100] p70_cfg2_s43: 시작 (p=0.7, cfg=2, seed=43)
[2026-04-18 14:37:13] [67/100] p70_cfg2_s43: OK (4.7s, spawn=426, pass=401)
[2026-04-18 14:37:13] [68/100] p70_cfg2_s44: 시작 (p=0.7, cfg=2, seed=44)
[2026-04-18 14:37:17] [68/100] p70_cfg2_s44: OK (4.2s, spawn=382, pass=360)
[2026-04-18 14:37:17] [69/100] p70_cfg2_s45: 시작 (p=0.7, cfg=2, seed=45)
[2026-04-18 14:37:22] [69/100] p70_cfg2_s45: OK (4.8s, spawn=413, pass=393)
[2026-04-18 14:37:22] [70/100] p70_cfg2_s46: 시작 (p=0.7, cfg=2, seed=46)
[2026-04-18 14:37:27] [70/100] p70_cfg2_s46: OK (5.0s, spawn=434, pass=416)
[2026-04-18 14:37:27] [71/100] p70_cfg3_s42: 시작 (p=0.7, cfg=3, seed=42)
[2026-04-18 14:37:33] [71/100] p70_cfg3_s42: OK (5.9s, spawn=417, pass=415)
[2026-04-18 14:37:33] [72/100] p70_cfg3_s43: 시작 (p=0.7, cfg=3, seed=43)
[2026-04-18 14:37:39] [72/100] p70_cfg3_s43: OK (5.6s, spawn=426, pass=422)
[2026-04-18 14:37:39] [73/100] p70_cfg3_s44: 시작 (p=0.7, cfg=3, seed=44)
[2026-04-18 14:37:44] [73/100] p70_cfg3_s44: OK (5.1s, spawn=382, pass=381)
[2026-04-18 14:37:44] [74/100] p70_cfg3_s45: 시작 (p=0.7, cfg=3, seed=45)
[2026-04-18 14:37:50] [74/100] p70_cfg3_s45: OK (5.8s, spawn=413, pass=410)
[2026-04-18 14:37:50] [75/100] p70_cfg3_s46: 시작 (p=0.7, cfg=3, seed=46)
[2026-04-18 14:37:56] [75/100] p70_cfg3_s46: OK (6.0s, spawn=434, pass=432)
[2026-04-18 14:37:56] [76/100] p70_cfg4_s42: 시작 (p=0.7, cfg=4, seed=42)
[2026-04-18 14:38:02] [76/100] p70_cfg4_s42: OK (6.1s, spawn=417, pass=415)
[2026-04-18 14:38:02] [77/100] p70_cfg4_s43: 시작 (p=0.7, cfg=4, seed=43)
[2026-04-18 14:38:08] [77/100] p70_cfg4_s43: OK (6.7s, spawn=426, pass=426)
[2026-04-18 14:38:08] [78/100] p70_cfg4_s44: 시작 (p=0.7, cfg=4, seed=44)
[2026-04-18 14:38:14] [78/100] p70_cfg4_s44: OK (5.5s, spawn=382, pass=382)
[2026-04-18 14:38:14] [79/100] p70_cfg4_s45: 시작 (p=0.7, cfg=4, seed=45)
[2026-04-18 14:38:20] [79/100] p70_cfg4_s45: OK (6.2s, spawn=413, pass=413)
[2026-04-18 14:38:20] [80/100] p70_cfg4_s46: 시작 (p=0.7, cfg=4, seed=46)
[2026-04-18 14:38:27] [80/100] p70_cfg4_s46: OK (6.7s, spawn=434, pass=434)
[2026-04-18 14:38:27] [81/100] p80_cfg1_s42: 시작 (p=0.8, cfg=1, seed=42)
[2026-04-18 14:38:33] [81/100] p80_cfg1_s42: OK (6.2s, spawn=417, pass=224)
[2026-04-18 14:38:33] [82/100] p80_cfg1_s43: 시작 (p=0.8, cfg=1, seed=43)
[2026-04-18 14:38:39] [82/100] p80_cfg1_s43: OK (5.7s, spawn=426, pass=244)
[2026-04-18 14:38:39] [83/100] p80_cfg1_s44: 시작 (p=0.8, cfg=1, seed=44)
[2026-04-18 14:38:44] [83/100] p80_cfg1_s44: OK (5.1s, spawn=382, pass=226)
[2026-04-18 14:38:44] [84/100] p80_cfg1_s45: 시작 (p=0.8, cfg=1, seed=45)
[2026-04-18 14:38:50] [84/100] p80_cfg1_s45: OK (5.6s, spawn=413, pass=237)
[2026-04-18 14:38:50] [85/100] p80_cfg1_s46: 시작 (p=0.8, cfg=1, seed=46)
[2026-04-18 14:38:56] [85/100] p80_cfg1_s46: OK (6.3s, spawn=434, pass=226)
