time,track_id,direction,vtype,bbox_height,cx,cy,zone
11:20:43,5,Downward,Truck_S,208,296,973,1
11:20:45,1,Downward,Car,225,649,897,0
11:20:45,2,Downward,Car,189,414,883,0
11:20:46,1,Downward,Car,222,632,880,0
11:20:52,2,Downward,Car,207,431,880,0
11:20:55,1,Downward,Car,226,626,887,0
11:20:59,1,Upward,Truck_L,448,1298,837,0
11:20:59,1,Upward,Truck_S,238,1120,676,0
11:21:06,4,Downward,Truck_L,421,274,857,0
11:21:06,1,Downward,Car,225,629,906,0
11:21:07,2,Downward,Truck_L,436,253,853,0
11:21:13,1,Downward,Truck_L,358,363,886,0
11:21:16,1,Downward,Car,236,622,862,0
11:21:17,1,Downward,Car,234,632,854,0
11:21:19,1,Downward,Car,219,418,877,0
11:21:20,1,Downward,Car,194,662,862,0
11:21:20,2,Downward,Car,184,422,856,0
11:21:22,1,Downward,Truck_S,231,398,876,0
11:21:26,1,Downward,Truck_S,290,404,853,0
11:21:43,1,Downward,Car,204,416,869,0
11:22:02,1,Downward,Car,235,421,883,0
11:22:43,1,Downward,Car,190,606,865,0
11:22:45,1,Downward,Car,230,630,898,0
11:22:49,1,Downward,Car,221,618,908,0
11:22:49,1,Downward,Truck_S,203,418,863,0
11:22:52,1,Upward,Truck_S,182,1022,836,0
11:22:58,1,Upward,Car,154,1024,829,0
11:23:00,1,Downward,Car,230,630,878,0
11:23:03,1,Upward,Car,144,1239,843,0
11:23:03,2,Upward,Car,152,1017,839,0
11:23:05,1,Upward,Car,139,1194,817,0
11:23:06,1,Upward,Car,137,1005,825,0
11:23:09,1,Downward,Car,212,620,891,0
11:23:11,1,Upward,Truck_S,198,1129,839,0
11:23:13,1,Upward,Car,161,1019,834,0
11:23:14,2,Downward,Car,210,669,873,0
11:23:14,1,Downward,Truck_L,413,344,869,0
11:23:16,1,Downward,Car,219,632,888,0
11:23:16,2,Upward,Car,168,1032,848,0
11:23:20,1,Upward,Car,363,1290,825,0
11:23:24,2,Upward,Car,164,1256,841,0
11:23:25,1,Downward,Truck_L,398,342,865,0
11:23:25,1,Upward,Truck_S,99,1099,681,0
11:23:25,2,Downward,Car,312,207,914,0
11:23:27,1,Upward,Car,120,1188,828,0
11:23:34,1,Downward,Truck_L,333,386,857,0
11:23:34,2,Downward,Car,309,265,918,0
11:23:34,3,Downward,Truck_S,241,609,956,1
11:23:38,1,Downward,Car,189,638,856,0
11:23:39,1,Downward,Car,191,665,858,0
11:23:43,1,Downward,Car,196,650,863,0
11:23:44,1,Downward,Truck_S,201,439,864,0
11:23:48,1,Downward,Car,204,387,880,0
11:23:49,1,Downward,Car,231,629,868,0
11:23:50,1,Downward,Car,191,437,872,0
11:23:52,1,Downward,Car,248,644,889,0
11:23:53,1,Downward,Car,191,398,864,0
11:23:59,1,Downward,Car,194,661,858,0
11:24:01,1,Downward,Car,226,662,871,0
11:24:26,1,Downward,Car,400,358,866,0
11:24:30,1,Downward,Truck_L,447,319,851,0
11:25:16,1,Downward,Car,265,374,912,0
11:25:18,1,Downward,Car,206,398,856,0
11:25:21,1,Upward,Car,140,1193,832,1
11:25:24,1,Upward,Car,139,994,810,0
11:25:25,1,Downward,Truck_S,261,384,856,0
11:25:28,1,Downward,Car,203,651,875,0
11:25:29,1,Downward,Truck_S,203,395,874,0
11:25:34,2,Downward,Car,222,635,902,0
11:25:35,1,Upward,Car,446,1310,848,0
11:25:35,2,Upward,Bus,162,1050,608,0
11:25:38,1,Upward,Car,136,1013,847,0
11:25:41,2,Upward,Car,148,1209,826,0
11:25:42,1,Upward,Truck_S,182,1029,811,0
11:25:44,1,Upward,Car,164,1022,835,0
11:25:46,1,Upward,Car,189,1251,829,0
11:25:47,1,Upward,Truck_S,120,1117,698,0
11:25:49,2,Downward,Car,187,661,852,0
11:25:49,1,Upward,Truck_S,187,1281,832,0
11:25:52,1,Downward,Car,202,416,879,0
11:25:53,1,Downward,Car,191,686,858,0
