t_sec,rho,v_mps,n_agents
699.032,0.5,0.8071003737908253,1
699.066,0.5,1.0520066029235298,1
699.099,0.5,0.6536685002431674,1
699.132,0.5,0.4649541518448979,1
699.166,0.5,0.26038702737162917,1
699.199,0.5,0.155180572191781,1
699.233,0.5,0.319233600334068,1
699.266,0.5,0.16320288898172786,1
699.299,0.5,0.13001724768227552,1
699.333,0.5,0.32224286565586335,1
699.366,0.5,1.0703603435436244,1
699.399,0.5,1.6862365832143988,1
699.433,0.5,1.4880231757578006,1
699.466,0.5,0.8790639597337326,1
699.499,0.5,0.872649257999136,1
699.533,0.5,1.0814082532720672,1
699.566,0.5,0.8965659600843497,1
699.6,0.5,0.35423186862985867,1
699.633,0.5,0.10913472356509374,1
699.666,0.5,0.1149610224041065,1
699.7,0.5,0.16320461582281245,1
699.733,0.5,0.08622076680338284,1
699.766,0.5,0.28995133037834553,1
699.8,0.5,0.07920140200588817,1
699.833,0.5,0.5469739158047279,1
699.867,0.5,1.9272086283963354,1
699.9,0.5,2.2688181249800756,1
699.933,0.5,1.8426737929856887,1
699.967,0.5,1.356344084484191,1
700.0,0.5,1.3565146821665464,1
700.033,0.5,0.8505010212683742,1
700.067,0.5,0.4665805480650409,1
700.1,0.5,0.2863216293083189,1
700.133,0.5,0.15883318095919077,1
700.167,0.5,0.01980035050146388,1
700.2,0.5,0.040488396267335115,1
700.234,0.5,0.300562891576271,1
700.267,0.5,0.40360893504799816,1
700.3,0.5,1.811144759991506,1
700.334,0.5,2.9097042592914875,1
700.367,0.5,2.2291966761724042,1
700.4,0.5,0.8944746772136779,1
700.434,0.5,0.27894953965722785,1
700.467,0.5,0.06120108336815132,1
700.567,0.5,0.17503785566214317,1
700.601,0.5,0.12513288131582168,1
700.634,0.5,0.1300172476822892,1
700.667,0.5,0.16445367289924923,1
700.701,0.5,0.16901514579976443,1
700.734,0.5,0.22773485096839655,1
700.767,0.5,0.10200180561357655,1
700.801,0.5,0.20186551539377084,1
700.834,0.5,0.08407510512107443,1
700.868,0.5,0.1424469476945083,1
700.901,0.5,0.08407510512107118,1
700.934,0.5,0.10399132611187671,1
700.968,0.5,0.2654758533584052,1
701.168,0.5,0.4583784534940791,1
702.436,0.5,0.8532091373892225,1
702.469,0.5,0.06446239340507026,1
702.536,0.5,0.8868351946813938,1
702.569,0.5,0.4875708896017523,1
702.603,0.5,1.560789225710687,1
702.636,0.5,0.5715687351183947,1
702.669,0.5,0.24480433347257835,1
702.703,0.5,0.2213206221408064,1
702.736,0.5,0.23856735681060437,1
702.769,0.5,0.36776411101918316,1
702.803,0.5,0.32224286565585697,1
702.836,1.0,0.46580237331169216,2
702.87,1.0,0.17874313968059802,2
702.903,1.0,0.47063609582362675,2
702.936,1.0,0.2822178714523658,2
702.97,1.0,0.7135876427032983,2
703.003,0.5,1.9233070182273073,1
703.036,0.5,1.308198054457829,1
703.07,0.5,1.3766149889087642,1
703.103,0.5,0.9784168042422928,1
703.136,0.5,0.6944763116932924,1
703.17,0.5,0.42317012453623487,1
703.203,0.5,0.34680613908614816,1
703.237,0.5,0.08160230791140781,1
703.27,0.5,0.3264057779634423,1
703.303,0.5,0.1039913261118754,1
703.337,0.5,0.1204160049831036,1
703.37,0.5,0.32832790251286803,1
703.403,0.5,0.2916973125109148,1
703.437,0.5,0.41318305477856077,1
703.47,0.5,0.44926428612085806,1
703.504,0.5,0.5520189605148971,1
703.537,0.5,0.5010166721304712,1
703.57,0.5,0.8110503187018328,1
703.604,0.5,1.0523904173771375,1
703.637,0.5,1.3508769117979997,1
703.67,0.5,0.9630162008892968,1
703.704,0.5,0.8174614888665312,1
703.737,0.5,0.8750919375327595,1
703.77,0.5,0.6618709729669459,1
703.804,0.5,0.928122018247938,1
703.837,0.5,0.5418853862142224,1
703.871,0.5,0.16901514579974763,1
703.904,0.5,0.29686274400957535,1
703.937,1.0,0.9370873522747165,2
703.971,0.5,0.32640923164561547,1
704.004,0.5,0.6353206807088262,1
704.037,0.5,0.7405129906690059,1
704.071,0.5,0.7649146648626571,1
704.104,0.5,1.5387404523897286,1
704.137,0.5,1.945663522483333,1
704.171,0.5,1.869754145988367,1
704.204,0.5,1.1748721650929366,1
704.238,0.5,1.7596489033679215,1
704.271,0.5,1.2252649896392414,1
704.304,0.5,1.0071088383399958,1
704.338,0.5,0.8926385269031211,1
704.371,0.5,0.819845463486236,1
704.404,0.5,0.8381690399772544,1
705.939,0.5,1.350770771562069,1
705.973,0.5,1.158425751001511,1
706.006,0.5,0.5415766251555169,1
706.039,0.5,0.7230030267962627,1
706.073,0.5,0.3564063090265131,1
706.106,0.5,0.5739077156002117,1
706.139,0.5,0.6268120432211739,1
706.173,0.5,0.3888229868364579,1
706.206,0.5,0.6123455626535965,1
706.24,0.5,0.6757876563308682,1
706.273,0.5,0.8261905983764043,1
706.306,0.5,0.7140126392950426,1
706.34,0.5,0.7920140200589209,1
706.373,0.5,0.7681757291022463,1
706.406,0.5,1.0404184172620625,1
706.44,0.5,1.1199061302295907,1
706.473,0.5,0.2277348509691811,1
706.507,0.5,0.6166347783354617,1
706.54,0.5,0.2884606699083875,1
706.573,0.5,0.7572527047047753,1
706.607,0.5,0.5861876814023307,1
706.64,0.5,0.4168710213226735,1
706.673,0.5,0.2649053616649408,1
706.707,0.5,1.2732832266038094,1
706.74,0.5,1.2255274334736763,1
706.773,0.5,0.719982033191531,1
706.807,0.5,0.7130833773356229,1
706.84,0.5,0.5104106545408597,1
706.874,0.5,0.48166401993240915,1
706.907,0.5,0.7566759460870337,1
706.94,0.5,1.6179193279128974,1
706.974,0.5,0.4469761466587386,1
707.007,0.5,0.4964524567382283,1
707.04,0.5,0.324548963334018,1
707.074,0.5,0.24873198655255277,1
707.107,0.5,0.04554697019367808,1
707.14,0.5,0.028740255601034943,1
707.174,0.5,0.08160230791140781,1
707.207,0.5,0.2088070893253366,1
707.241,0.5,0.1596168001670316,1
707.274,0.5,0.34174028272914847,1
707.307,0.5,0.10913472356508125,1
707.341,0.5,0.08368486189716277,1
707.374,0.5,0.17413681688446966,1
707.407,0.5,0.29942180828662074,1
707.441,0.5,0.23740995985226274,1
707.474,0.5,0.46386077132948866,1
707.508,0.5,0.5924488197402139,1
707.541,0.5,0.2841520299358603,1
707.574,0.5,0.7618039189936722,1
707.608,0.5,1.0465759693976575,1
707.641,0.5,1.2186880803769409,1
707.674,0.5,0.19204393227555386,1
707.708,0.5,0.17601600777454993,1
711.812,0.5,0.8074086267225784,1
711.845,0.5,0.8162094109495214,1
711.879,0.5,0.9380542125283162,1
711.912,0.5,0.2634758750080428,1
711.945,0.5,1.0440430878896172,1
711.979,0.5,0.9339294481419527,1
712.012,0.5,0.6924184060073268,1
712.045,0.5,0.8781494139849839,1
712.079,0.5,0.9488620462052164,1
712.112,0.5,1.2363859014672633,1
712.145,0.5,1.1027394589861095,1
712.179,0.5,1.3807634872621475,1
712.212,0.5,0.8415287203544763,1
712.246,0.5,0.7632713391531686,1
712.279,0.5,1.0619678674383304,1
712.312,0.5,0.8483344140691815,1
712.346,0.5,2.297176812379474,1
712.379,0.5,1.153842679633527,1
712.412,0.5,0.9462449625238591,1
712.446,0.5,0.43270379366043316,1
712.479,0.5,1.0625558472799763,1
712.513,0.5,0.5474540741194066,1
712.546,0.5,1.373381060714414,1
712.579,0.5,1.7165565697897738,1
712.613,0.5,1.9101843090968955,1
712.646,0.5,1.7290706584479594,1
712.679,0.5,0.8906287470580262,1
712.713,1.0,1.2592182127044889,2
712.746,1.0,1.2875757608264506,2
712.779,1.0,1.4395100961344758,2
712.813,1.0,0.48913407476812476,2
712.846,1.0,1.020712641478756,2
712.88,1.0,1.5748446577725246,2
712.913,1.0,1.6876170594850781,2
712.946,1.0,1.2799789752374018,2
712.98,1.0,0.8375502129677341,2
713.013,1.0,1.6332990413150126,2
713.046,0.5,1.4316081465415496,1
713.08,1.0,1.2221362460046907,2
713.113,1.0,0.7387730366120295,2
713.146,1.0,1.9516770877407617,2
713.18,1.0,0.632403558184198,2
713.213,1.0,1.7469241724218856,2
