scenario_id,p,config,seed,avg_gate_wait,p95_gate_wait,avg_esc_wait,zone1_density_avg,zone1_density_max,zone1_los_avg,zone1_los_max,zone1_category,zone2_density_avg,zone2_density_max,zone2_los_avg,zone2_los_max,zone2_category,zone3a_density_avg,zone3a_density_max,zone3a_los_avg,zone3a_los_max,zone3a_category,zone3b_density_avg,zone3b_density_max,zone3b_los_avg,zone3b_los_max,zone3b_category,zone3c_density_avg,zone3c_density_max,zone3c_los_avg,zone3c_los_max,zone3c_category,zone4a_density_avg,zone4a_density_max,zone4a_los_avg,zone4a_los_max,zone4a_category,zone4b_density_avg,zone4b_density_max,zone4b_los_avg,zone4b_los_max,zone4b_category,zone4c_density_avg,zone4c_density_max,zone4c_los_avg,zone4c_los_max,zone4c_category
p30_cfg2_s43,0.3,2,43,11.580633802816898,29.7125,23.651442307692307,0.0496133333333333,0.12,A,A,walkway,0.6678571428571428,2.75,A,D,waiting,0.3805555555555555,0.9166666666666666,B,D,walkway,0.425,1.6666666666666667,C,E,walkway,0.02,0.0333333333333333,A,A,walkway,0.4708333333333334,1.2083333333333333,C,E,walkway,1.847222222222222,5.166666666666667,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg2_s44,0.3,2,44,9.493979057591622,24.847499999999997,22.18651832460733,0.0414533333333333,0.1128,A,A,walkway,0.5142857142857142,2.4642857142857144,A,D,waiting,0.3381944444444444,0.9583333333333334,B,D,walkway,0.375,1.3333333333333333,B,E,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4152777777777777,1.1666666666666667,C,E,walkway,1.3305555555555555,4.166666666666667,E,F,walkway,0.0194444444444444,0.0333333333333333,A,A,walkway
p30_cfg2_s45,0.3,2,45,9.464891041162227,21.989999999999984,23.58459657701712,0.04536,0.1128,A,A,walkway,0.5446428571428572,2.321428571428572,A,D,waiting,0.35625,0.9583333333333334,B,D,walkway,0.4138888888888888,1.5,C,E,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway,0.4527777777777777,1.2916666666666667,C,E,walkway,1.8138888888888889,5.333333333333333,E,F,walkway,0.0261111111111111,0.0666666666666666,A,A,walkway
p30_cfg2_s46,0.3,2,46,10.18663594470046,27.43999999999997,23.83006993006993,0.0488933333333333,0.1248,A,A,walkway,0.6119047619047618,2.392857142857143,A,D,waiting,0.3756944444444444,0.9583333333333334,B,D,walkway,0.4833333333333334,1.6666666666666667,C,E,walkway,0.0177777777777777,0.0333333333333333,A,A,walkway,0.4868055555555556,1.25,C,E,walkway,1.8500000000000003,5.5,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg3_s42,0.3,3,42,17.620023980815347,50.08,20.31971153846154,0.0502533333333333,0.1232,A,A,walkway,0.943452380952381,3.357142857142857,B,E,waiting,0.3555555555555555,0.875,B,D,walkway,0.3055555555555555,1.0,B,D,walkway,0.0211111111111111,0.0333333333333333,A,A,walkway,0.4375,1.125,C,E,walkway,1.2444444444444445,3.6666666666666665,E,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
p30_cfg3_s43,0.3,3,43,18.46701877934272,54.8,20.04698795180723,0.0517066666666666,0.1224,A,A,walkway,1.0142857142857142,3.642857142857143,C,E,waiting,0.3625,0.7916666666666666,B,D,walkway,0.3888888888888889,1.1666666666666667,B,E,walkway,0.0183333333333333,0.0333333333333333,A,A,walkway,0.4458333333333334,1.2083333333333333,C,E,walkway,1.0888888888888888,3.8333333333333335,E,F,walkway,0.0205555555555555,0.0333333333333333,A,A,walkway
p30_cfg3_s44,0.3,3,44,13.91125654450262,47.01499999999998,18.603026315789474,0.0419333333333333,0.1128,A,A,walkway,0.7160714285714286,3.071428571428572,A,D,waiting,0.3180555555555555,0.7916666666666666,B,D,walkway,0.3,1.0,A,D,walkway,0.015,0.0333333333333333,A,A,walkway,0.3770833333333332,1.0,B,D,walkway,0.8944444444444443,3.0,D,F,walkway,0.0188888888888888,0.0333333333333333,A,A,walkway
p30_cfg3_s45,0.3,3,45,12.675786924939468,38.43000000000001,20.519370460048425,0.0457733333333333,0.1104,A,A,walkway,0.7130952380952382,2.5357142857142856,A,D,waiting,0.3444444444444444,0.875,B,D,walkway,0.3583333333333333,1.3333333333333333,B,E,walkway,0.0183333333333333,0.0333333333333333,A,A,walkway,0.4347222222222222,1.125,C,E,walkway,1.2472222222222222,3.8333333333333335,E,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
p30_cfg3_s46,0.3,3,46,16.033294930875574,46.3175,20.49338747099768,0.05028,0.1216,A,A,walkway,0.8988095238095237,3.1785714285714284,B,D,waiting,0.3548611111111111,0.9166666666666666,B,D,walkway,0.3361111111111111,1.0,B,D,walkway,0.0166666666666666,0.0333333333333333,A,A,walkway,0.4395833333333333,1.125,C,E,walkway,1.413888888888889,4.5,E,F,walkway,0.0244444444444444,0.0666666666666666,A,A,walkway
p30_cfg4_s42,0.3,4,42,26.145487804878048,70.82749999999999,17.531585677749362,0.0553066666666666,0.1248,A,A,walkway,1.392261904761905,3.5357142857142856,C,E,waiting,0.2743055555555556,0.8333333333333334,A,D,walkway,0.2305555555555555,1.0,A,D,walkway,0.0144444444444444,0.0333333333333333,A,A,walkway,0.4465277777777777,1.0416666666666667,C,E,walkway,0.7555555555555554,2.833333333333333,D,F,walkway,0.0216666666666666,0.0333333333333333,A,A,walkway
