time,agent_id,x,y,gate_idx,state
22.400000000000002,57,5.35613470614188,9.543806678265739,1,moving
22.400000000000002,58,5.1134154409888355,8.695067211741701,0,moving
22.400000000000002,59,5.2021895864344785,8.555701956846711,0,moving
22.400000000000002,60,5.043163875936227,14.11759261725222,2,moving
22.400000000000002,61,5.83249225433298,15.085148982190576,6,moving
22.400000000000002,62,4.9719976918685385,12.541630729179952,6,moving
22.400000000000002,63,8.001516229406363,15.08200673944595,6,moving
22.400000000000002,64,18.927156266322385,7.8768941889711295,1,passed
22.400000000000002,66,7.553922495580992,10.306008194817736,1,moving
22.400000000000002,67,18.389622750597646,8.93480276829509,2,passed
22.400000000000002,68,16.101752034290026,16.55369932167124,6,passed
22.400000000000002,69,15.57845726234225,15.364420907976383,5,passed
22.400000000000002,70,15.13529408911993,9.232076469844941,0,passed
22.400000000000002,71,4.758261191121354,8.131539825115143,1,moving
22.400000000000002,72,13.871649553870409,15.105554588112483,6,passed
22.400000000000002,73,13.827191421585882,11.633905498221514,2,passed
22.400000000000002,74,13.799782526757701,9.950096449634765,0,passed
22.400000000000002,4,11.7,11.65,2,queue
22.400000000000002,6,11.2,11.65,2,queue
22.400000000000002,22,11.7,13.350000000000001,4,queue
22.400000000000002,42,11.7,15.050000000000002,6,queue
22.5,2,8.040453833917036,11.06644636202117,0,moving
22.5,3,7.779708847553747,14.5609381213828,4,moving
22.5,5,6.217086759043108,12.56674254333896,5,moving
22.5,18,7.021868315739019,16.073984547321178,5,moving
22.5,19,24.65677870959867,22.14256711320501,6,passed
22.5,20,6.189303667789855,10.127966290068269,2,moving
22.5,23,7.538219215105882,11.953737085373827,2,moving
22.5,24,5.860396797939528,15.75879746225811,4,moving
22.5,26,4.857317401630244,16.469377811198814,6,moving
22.5,30,7.471242473027438,13.662396588945057,6,moving
22.5,31,4.317284965384025,9.715614135118507,0,moving
22.5,32,8.481149157359239,9.52286649004487,0,moving
22.5,33,6.56767531829058,9.218819351848012,1,moving
22.5,34,23.77064420636077,5.3546662492685675,2,passed
22.5,36,6.618757328871622,10.77518153364288,1,moving
22.5,37,21.79241699667988,20.271323512429575,6,passed
22.5,38,5.132015223428386,10.244798530161123,0,moving
22.5,39,5.4085590041528535,10.919600249899297,1,moving
22.5,48,8.046513213000798,10.18324953656889,1,moving
22.5,49,6.737098009162433,14.022228919967377,2,moving
22.5,50,5.636290545403486,16.80978023810812,5,moving
22.5,55,7.01380581468351,11.01628052358519,1,moving
22.5,57,5.369814945663347,9.543438816523896,1,moving
22.5,58,5.161263997877801,8.6927451205849,0,moving
22.5,59,5.247236639870078,8.55942247357132,0,moving
22.5,60,5.086523705373803,14.087885130389111,2,moving
22.5,61,5.861393289099261,15.084632859919447,6,moving
